timestamp, index, name, memory.used [MiB], memory.free [MiB], utilization.gpu [%]
2026/08/10 16:10:38.501, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:39.503, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:39.504, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:40.507, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:40.508, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:41.510, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:41.514, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:42.516, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:42.519, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:43.522, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:43.525, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:44.527, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:44.531, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:45.533, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:45.537, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:46.539, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:46.543, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:47.545, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:47.549, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:48.552, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:48.555, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:49.558, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:49.563, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:50.565, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:50.569, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:51.571, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:51.575, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:52.578, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:52.582, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
2026/08/10 16:10:53.584, 0, NVIDIA A100-PCIE-40GB, 7830 MiB, 32508 MiB, 0 %
2026/08/10 16:10:53.589, 1, Tesla T4, 2 MiB, 14928 MiB, 0 %
